,0
1172,AKR1B1
1173,CTSG
1174,COX19
1175,FZD3
1176,PSORS1C3
1177,ISCU
1178,SIAH2
1179,MUCL1
1180,TSGA10
1181,CLCA3P
1182,RFPL2
1183,XYLT1
1184,SLC45A3
1185,IMMP1L
1186,TMEM129
1187,PLAC9
1188,CLVS1
1189,AGO2
1190,TM7SF2
1191,CISD1
1192,SMYD3
1193,STX1B
1194,C11orf54
1195,PRR12
1196,ARAF
1197,AOPEP
1198,TLR5
1199,MRPS7
1200,CD24
1201,IMPA2
1202,POLDIP2
1203,SZT2
1204,MT-TY
1205,JRKL
1206,OAS3
1207,AGA
1208,IGDCC4
1209,SCIN
1210,CLEC4G
1211,TMX3
1212,EIF2B2
1213,NBPF7P
1214,EIF3H
1215,ABCB1
1216,TCF19
1217,SUCLA2
1218,H2AB1
1219,PRKN
1220,PAOX
1221,THEMIS2
1222,SNORA5C
1223,CPEB3
1224,INPP5A
1225,ZFAND5
1226,CD248
1227,COLGALT1
1228,SLC6A8
1229,CD14
1230,CPLX4
1231,PRB2
1232,PLEC
1233,ASXL1
1234,ARL6IP4
1235,ERC1
1236,BUB1
1237,ADAM15
1238,SLC16A9
1239,GNL1
1240,CARD18
1241,ZNF526
1242,MIR574
1243,RBAK
1244,MAPK13
1245,POU5F1B
1246,PIGF
1247,DNAJC6
1248,RBCK1
1249,RGS13
1250,ATP6V1H
1251,AZIN2
1252,ZNF45
1253,SERTAD3
1254,SLC2A6
1255,UNK
1256,NFKB1
1257,SEMA6C
1258,CA5A
1259,YARS2
1260,TCF4
1261,IER5
1262,LCE3E
1263,LOXHD1
1264,CLEC14A
1265,ATP2B3
1266,CMC1
1267,TAF7
1268,MIR29A
1269,C2CD4A
1270,HMOX2
1271,CDHR1
1272,C1QL3
1273,HEPHL1
1274,SELENOW
1275,PRKRA
1276,TMPRSS11A
1277,PALM2AKAP2
1278,KCNJ1
1279,NACC2
1280,RO60
1281,PCDH7
1282,MIR216A
1283,CCN2
1284,HAPLN1
1285,CCNE2
1286,RTN4
1287,MANEA
1288,GTPBP10
1289,PRELID1
1290,GSC
1291,SLK
1292,PNMA3
1293,AK1
1294,MARCHF4
1295,DRAXIN
1296,RILP
1297,VPS9D1
1298,UBXN7
1299,ECM2
1300,MMP24
1301,ZNRD2
1302,TEX13B
1303,TMEM132A
1304,RAD18
1305,RB1CC1
1306,RABL3
1307,IGFALS
1308,COL9A3
1309,CDC14B
1310,NCK2
1311,MUC16
1312,S1PR3
1313,CDH23
1314,ADARB2
1315,POLR1B
1316,ATRIP
1317,MRPL58
1318,EP300
1319,DPY19L1
1320,PLCB3
1321,CD79B
1322,MAGEE1
1323,ORM1
1324,MAOA
1325,MMD
1326,MPIG6B
1327,TNIK
1328,SCAND2P
1329,POLE4
1330,SLC6A11
1331,TMEM216
1332,THOC2
1333,TRIM31
1334,WEE2
1335,NXPH3
1336,ARL5A
1337,NEIL2
1338,MT-TV
1339,LRP2
1340,AFP
1341,RBM8A
1342,FBXO30
1343,CCDC28B
1344,SLC51B
1345,H2BC11
1346,SLCO4A1
1347,ZSWIM8
1348,CDC37L1
1349,CHRNB1
1350,CT47A2
1351,SHISA4
1352,PHIP
1353,ARHGEF7
1354,C2orf88
1355,DKK2
1356,DTHD1
1357,THRB
1358,IGHA1
1359,CANX
1360,CLEC4C
1361,NEGR1
1362,EPHA10
1363,KIF26A
1364,RSPH4A
1365,INSL3
1366,PDLIM2
1367,SUSD2
1368,SNX1
1369,SHLD1
1370,CD4
1371,MAL
1372,PSMB4
1373,GPR20
1374,BHLHE22
1375,CREG1
1376,CNTN2
1377,SLC25A15
1378,CASP1
1379,UNC5C
1380,PKLR
1381,TRBD2
1382,CABP1
1383,TBL3
1384,PRY2
1385,PSMD5
1386,MAP4K3
1387,HSPE1
1388,TIAM2
1389,COL1A2
1390,PHKG2
1391,PGRMC2
1392,THAP7
1393,SSNA1
1394,CD74
1395,AZIN1
1396,MIR22
1397,PPP4R4
1398,MYBL2
1399,LHB
1400,BLACE
1401,CAMSAP2
1402,DBT
1403,PTPRF
1404,HMGA1
1405,SSTR4
1406,VPS45
1407,ERLIN1
1408,DNAAF2
1409,DRG2
1410,CD2BP2
1411,SPINT1
1412,TESPA1
1413,LRP5
1414,TTPA
1415,FSD1
1416,COX7C
1417,GPR22
1418,GIT1
1419,SERPINI2
1420,UBXN11
1421,MEPCE
1422,WDR74
1423,SNORD83A
1424,NUGGC
1425,UGT1A4
1426,ZNF510
1427,UNC50
1428,CASP12
1429,DEPDC1
1430,PHC3
1431,ADK
1432,HOXA13
1433,TMED2
1434,PRKCA
1435,NDUFA7
1436,COX10
1437,KCNJ14
1438,AKIRIN2
1439,LYST
1440,CARD11
1441,GEM
1442,PRPS1
1443,SART1
1444,RNU6-1
1445,PHF10
1446,PHF2
1447,ECPAS
1448,CLCN3
1449,PANK1
1450,REEP3
1451,ATP5MK
1452,TTC29
1453,IL2
1454,CGRRF1
1455,UNC13C
1456,ADGRB1
1457,C2CD4C
1458,NAA20
1459,SUCO
1460,ENOX2
1461,POLR2J
1462,INO80D
1463,ZNF565
1464,ETNK2
1465,BLOC1S3
1466,DNAJC1
1467,RTF1
1468,YIF1B
1469,SLC9A5
1470,DPEP2
1471,CTPS2
1472,NR0B2
1473,IFNG
1474,TPD52L1
1475,NUFIP2
1476,NCOR2
1477,RNASE4
1478,PRDX6
1479,MYOM1
1480,PAQR6
1481,NPAS2
1482,AGPAT3
1483,TMEM134
1484,A4GNT
1485,C17orf49
1486,NDUFS4
1487,TTC17
1488,ZNF674
1489,SDF2
1490,AMIGO3
1491,CLEC10A
1492,ZNF668
1493,NEK9
1494,S100A16
1495,ZC3H7B
1496,BICRAL
1497,UCN3
1498,BORA
1499,EHD1
1500,SLC25A1
1501,SNORD20
1502,SMC2
1503,TTLL3
1504,RGS2
1505,ZNF257
1506,GNPNAT1
1507,NPAP1
1508,SLC22A25
1509,PSG8
1510,DONSON
1511,OSBP
1512,DOK6
1513,FABP3
1514,INO80E
1515,NRG2
1516,CST2
1517,PPFIBP1
1518,FAM126A
1519,ZMPSTE24
1520,MC1R
1521,ZDHHC3
1522,POU6F1
1523,ARSD
1524,CHRD
1525,TMEM208
1526,TAF2
1527,RUSC2
1528,UPK2
1529,MIRLET7A3
1530,FDX1
1531,TRAPPC3L
1532,MCEMP1
1533,NCAPG2
1534,HSPB8
1535,FCRL2
1536,ATXN2L
1537,TEX15
1538,TFB2M
1539,GCC1
1540,HK1
1541,IL3
1542,IL18R1
1543,TPP1
1544,PRM1
1545,RNU1-4
1546,ATP8B3
1547,MRPL50
1548,CFHR4
1549,TMCO3
1550,TAF1A
1551,RPS6KA2
1552,SNX17
1553,PPP1R3C
1554,PTK7
1555,KMO
1556,SNX2
1557,DCANP1
1558,GYPB
1559,ATPAF2
1560,FGD1
1561,H2AC4
1562,ASB6
1563,SRP72
1564,MOB3B
1565,WDFY3
1566,ALDH1B1
1567,ART4
1568,ZNF702P
1569,ADAM9
1570,BRAP
1571,GRIN2A
1572,MED12
1573,UBN2
1574,TDRD3
1575,HMGCS2
1576,HS3ST4
1577,OLMALINC
1578,RPL10A
1579,IFFO1
1580,MACROH2A1
1581,PPWD1
1582,SPANXN1
1583,CLDN8
1584,SNX3
1585,HBP1
1586,NR2F1
1587,CGAS
1588,GALNT7
1589,PPP1CC
1590,TEX10
1591,ADAM22
1592,PTPRH
1593,ZNF395
1594,EPRS1
1595,PTPA
1596,CUX2
1597,PTTG1IP
1598,DNMT3L
1599,TMEM176B
1600,GORAB
1601,MCM2
1602,AKNA
1603,MACROD2
1604,ABRAXAS1
1605,GABRR3
1606,DLK1
1607,SFXN2
1608,MIEF2
1609,UROD
1610,ZNF177
1611,NIPAL4
1612,KCNMB1
1613,UGP2
1614,XIRP1
1615,LHX2
1616,FLRT3
1617,FSTL1
1618,SPOP
1619,PLEKHA5
1620,C19orf24
1621,RNASE3
1622,KLRK1
1623,DPAGT1
1624,BTN3A2
1625,PAX4
1626,RPA3
1627,PROX1
1628,MRGPRX1
1629,LDB3
1630,SPON1
1631,CCNT1
1632,SMPDL3A
1633,GSDMD
1634,PLIN5
1635,MIR218-1
1636,FGF2
1637,CHCHD4
1638,TACO1
1639,RAD52
1640,CD101
1641,PCYT1B
1642,CENPA
1643,SENP7
1644,SV2B
1645,SPTSSA
1646,KSR2
1647,RALGAPA1
1648,SPPL2A
1649,BPIFA4P
1650,FKBP2
1651,GCA
1652,PSEN2
1653,SCNN1A
1654,CSNK1E
1655,CLDN6
1656,BACH1
1657,BCAP31
1658,EMP3
1659,IQCB1
1660,ATP1B1
1661,SOX11
1662,RTBDN
1663,ZNHIT2
1664,MAN2B2
1665,KRT23
1666,GMFG
1667,USP29
1668,ADIG
1669,TTC26
1670,MRTO4
1671,MFGE8
1672,NLGN3
1673,CYSLTR1
1674,UCHL3
1675,NDUFB2
1676,TRIM37
1677,FIRRE
1678,DPM2
1679,SLAIN2
1680,INTS9
1681,ZBTB34
1682,CAMSAP3
1683,SNX10
1684,CRX
1685,ARF3
